LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,VALUE,COUNTRY
CAN,CPI,TOT,AGRWTH,M,2012-01,2.46,Canada
CAN,CPI,TOT,AGRWTH,M,2012-02,2.62,Canada
CAN,CPI,TOT,AGRWTH,M,2012-03,1.93,Canada
CAN,CPI,TOT,AGRWTH,M,2012-04,2.0,Canada
CAN,CPI,TOT,AGRWTH,M,2012-05,1.24,Canada
CAN,CPI,TOT,AGRWTH,M,2012-06,1.5,Canada
CAN,CPI,TOT,AGRWTH,M,2012-07,1.25,Canada
CAN,CPI,TOT,AGRWTH,M,2012-08,1.25,Canada
CAN,CPI,TOT,AGRWTH,M,2012-09,1.16,Canada
CAN,CPI,TOT,AGRWTH,M,2012-10,1.16,Canada
CAN,CPI,TOT,AGRWTH,M,2012-11,0.83,Canada
CAN,CPI,TOT,AGRWTH,M,2012-12,0.83,Canada
CAN,CPI,TOT,AGRWTH,M,2013-01,0.5,Canada
CAN,CPI,TOT,AGRWTH,M,2013-02,1.24,Canada
CAN,CPI,TOT,AGRWTH,M,2013-03,0.99,Canada
CAN,CPI,TOT,AGRWTH,M,2013-04,0.41,Canada
CAN,CPI,TOT,AGRWTH,M,2013-05,0.74,Canada
CAN,CPI,TOT,AGRWTH,M,2013-06,1.15,Canada
CAN,CPI,TOT,AGRWTH,M,2013-07,1.32,Canada
CAN,CPI,TOT,AGRWTH,M,2013-08,1.07,Canada
CAN,CPI,TOT,AGRWTH,M,2013-09,1.07,Canada
CAN,CPI,TOT,AGRWTH,M,2013-10,0.65,Canada
CAN,CPI,TOT,AGRWTH,M,2013-11,0.9,Canada
CAN,CPI,TOT,AGRWTH,M,2013-12,1.24,Canada
CAN,CPI,TOT,AGRWTH,M,2014-01,1.48,Canada
CAN,CPI,TOT,AGRWTH,M,2014-02,1.14,Canada
CAN,CPI,TOT,AGRWTH,M,2014-03,1.55,Canada
CAN,CPI,TOT,AGRWTH,M,2014-04,2.04,Canada
